CountyName,TimeStamp,ConfirmedCovidCases
Galway,2020-03-20,0
Kerry,2020-03-20,0
Kildare,2020-03-20,0
Kilkenny,2020-03-20,0
Laois,2020-03-20,0
Leitrim,2020-03-20,0
Limerick,2020-03-20,0
Longford,2020-03-20,0
Louth,2020-03-20,0
Mayo,2020-03-20,0
Meath,2020-03-20,0
Monaghan,2020-03-20,0
Offaly,2020-03-20,0
Roscommon,2020-03-20,0
Sligo,2020-03-20,0
Tipperary,2020-03-20,0
Waterford,2020-03-20,0
Westmeath,2020-03-20,0
Wexford,2020-03-20,0
Wicklow,2020-03-20,0
Carlow,2020-03-21,3
Cavan,2020-03-21,3
Clare,2020-03-21,9
Cork,2020-03-21,104
Donegal,2020-03-21,8
Dublin,2020-03-21,471
Galway,2020-03-21,33
Kerry,2020-03-21,12
Kildare,2020-03-21,23
Kilkenny,2020-03-21,15
Laois,2020-03-21,6
Leitrim,2020-03-21,3
Limerick,2020-03-21,18
Longford,2020-03-21,3
Louth,2020-03-21,13
Mayo,2020-03-21,6
Meath,2020-03-21,13
Monaghan,2020-03-21,3
Offaly,2020-03-21,10
Roscommon,2020-03-21,3
Sligo,2020-03-21,8
Tipperary,2020-03-21,20
Waterford,2020-03-21,9
Westmeath,2020-03-21,20
Wexford,2020-03-21,3
Wicklow,2020-03-21,22
Carlow,2020-03-22,3
Cavan,2020-03-22,5
Clare,2020-03-22,11
Cork,2020-03-22,123
Donegal,2020-03-22,11
Dublin,2020-03-22,535
Galway,2020-03-22,35
Kerry,2020-03-22,15
Kildare,2020-03-22,25
Kilkenny,2020-03-22,16
Laois,2020-03-22,8
Leitrim,2020-03-22,3
Limerick,2020-03-22,19
Longford,2020-03-22,3
Louth,2020-03-22,16
Mayo,2020-03-22,9
Meath,2020-03-22,16
Monaghan,2020-03-22,3
Offaly,2020-03-22,13
Roscommon,2020-03-22,3
Sligo,2020-03-22,8
Tipperary,2020-03-22,20
Waterford,2020-03-22,13
Westmeath,2020-03-22,21
Wexford,2020-03-22,7
Wicklow,2020-03-22,28
Carlow,2020-03-23,3
